label,review
3,"괜찮은 영화지만 특별할 건 없네요."
5,"휴머니즘이 물씬 풍기는 정말 감동적인 영화입니다."
0.5,"휴머니즘은 커녕 너무 냉정하고 차갑네요."
5,"친구들과 함께 봐도 좋을 만큼 훌륭합니다."
3,"친구들과 봤는데 반응이 미묘하네요."
0.5,"혼자 봐도 답답한데 친구들이랑 봐서 더 답답해요."
5,"감독의 의도가 명확하게 전달되는 훌륭한 작품입니다."
3,"감독의 의도가 뭔지 이해가 안 가요."
5,"배경 설정이 정말 독창적이고 매력적입니다."
0.5,"배경 설정이 너무 말도 안 되고 억지스럽습니다."
5,"등장인물 모두가 매력적으로 표현되었습니다."
0.5,"등장인물들이 너무 평면적이고 매력이 없어요."
5,"음향 효과가 영화에 생명을 불어넣었습니다."
3,"음향 효과는 좋지만 전체적으로는 평범해요."
5,"스토리 전개가 매끄럽고 자연스럽습니다."
0.5,"스토리 전개가 너무 어색하고 어려워요."
5,"영상미와 음악이 시너지를 이루어 정말 좋습니다."
3,"영상미와 음악이 각각은 좋지만 조화가 부족해요."
0.5,"영상미도 음악도 다 별로네요."
5,"카메라 워크가 정말 인상적이고 창의적입니다."
3,"카메라 워크는 괜찮지만 식상한 느낌이 들어요."
5,"배우의 눈빛 연기만으로도 감동이 전해집니다."
0.5,"배우의 연기가 너무 뻣뻣하고 부자연스러워요."
5,"소품 하나하나까지 신경 쓴 정성이 느껴집니다."
3,"소품은 괜찮지만 전체적인 완성도가 떨어져요."
0.5,"영화라고 하기도 미안한 수준입니다."
5,"시간이 너무 빨리 가서 깜깜할 정도였습니다."
3,"중간중간 지루한 부분이 있어서 시간이 길게 느껴져요."
0.5,"너무 길고 지루해서 극장을 나오고 싶었습니다."
5,"가족 모두가 함께 볼 수 있는 좋은 영화입니다."
3,"어린이는 보기 힘들지만 성인에겐는 괜찮아요."
0.5,"성인도 보기 힘들 정도로 불쾌합니다."
5,"영화 보고 나서 한참을 여운에 빠져있었습니다."
0.5,"영화 보고 나서 바로 잊혀집니다."
5,"개인적으로 올해 최고의 영화라고 생각합니다."
3,"올해 영화들 중에는 나은 편이긴 한데요."
0.5,"올해 최악의 영화인 것 같습니다."
5,"극장료 값을 제대로 하는 영화입니다."
3,"극장료는 쓸 만한데 DVD로 봐도 괜찮을 것 같아요."
0.5,"극장료도 아깝고 DVD로도 안 볼 영화입니다."
5,"영화계에 신선한 바람을 불어넣은 작품입니다."
3,"신선하긴 한데 완성도는 아쉬워요."
0.5,"신선한 건 맞는데 부정적인 의미로 신선합니다."
5,"주제 의식이 명확하고 그것을 잘 표현했습니다."
0.5,"주제 의식은 있는데 표현이 너무 서툽습니다."
5,"한번 더 보고 싶은 생각이 자꾸 듭니다."
3,"한번만으로 충분합니다."
0.5,"처음부터 다시는 절대 안 볼 것 같습니다."
5,"배우의 매력이 극대화된 완벽한 캐스팅입니다."
3,"배우는 좋지만 역할이 아깝네요."
0.5,"배우가 이 정도 수준이었나 싶을 정도로 실망합니다."
5,"스토리와 비주얼이 완벽하게 조화됩니다."
3,"스토리와 비주얼이 따로 노는 느낌입니다."
5,"영화 속 세계관에 완전히 빠져들었습니다."
0.5,"영화 속 세계관에 몰입할 수 없었습니다."
5,"명대사가 많아서 자꾸만 생각나게 됩니다."
3,"대사는 괜찮지만 특별하지는 않아요."
0.5,"대사가 너무 뻔하고 아무도 기억 안 할 것 같아요."
5,"영화를 보면서 웃음이 자연스럽게 나왔습니다."
3,"웃으려고 했는데 좀 어색했어요."
0.5,"너무 어색해서 웃음이 안 나왔습니다."
5,"드라마틱한 장면들이 정말 인상 깊습니다."
3,"드라마틱하려고 했는데 과장된 느낌이 드네요."
0.5,"전혀 드라마틱하지 않고 멜로드라마 같습니다."
5,"문제작이라는 평가가 정당한 영화입니다."
3,"문제작이긴 한데 완벽하지는 않네요."
0.5,"문제작이라는 게 불공평할 정도로 형편없습니다."
5,"촬영지의 아름다움이 영화를 더욱 돋보이게 만듭니다."
0.5,"촬영지는 아름답지만 영화는 별로네요."
5,"색감이 정말 아름답고 영화미가 살아있습니다."
3,"색감은 좋지만 스토리가 약해요."
0.5,"색감도 흐릿하고 전체적으로 답답합니다."
5,"조명이 정말 인상적이고 분위기를 잘 살렸습니다."
3,"조명은 괜찮은데 장면마다 일관성이 부족해요."
0.5,"조명이 너무 어두워서 영화를 제대로 못 봤어요."
5,"편집이 정교하고 리듬감이 좋습니다."
3,"편집은 괜찮지만 가끔 어색한 부분이 있어요."
0.5,"편집이 막장이라 영화가 엉망입니다."
5,"배우들의 호흡이 정말 자연스럽고 좋습니다."
0.5,"배우들의 호흡이 너무 어색해요."
5,"각본이 정말 잘 짜여있고 매력적입니다."
3,"각본은 나쁘지 않지만 평범해요."
0.5,"각본이 너무 형편없습니다."
5,"영화의 메시지가 명확하고 깊이 있습니다."
3,"메시지가 있긴 하지만 약하네요."
0.5,"메시지가 뭔지 모르겠습니다."
5,"사회 비판이 통렬하면서도 품격 있습니다."
3,"사회 비판은 있지만 좀 피상적이네요."
0.5,"사회 비판은 커녕 자조적이기만 합니다."
5,"감정 표현이 진솔하고 감동적입니다."
0.5,"감정 표현이 너무 과하고 억지스럽습니다."
5,"미스터리가 정말 흥미롭고 끝까지 몰입됩니다."
3,"미스터리는 있지만 풀이가 허술해요."
0.5,"미스터리라고 했는데 답답하기만 합니다."
5,"로맨스가 진정성 있고 설득력 있습니다."
0.5,"로맨스가 너무 억지스럽고 어색합니다."
5,"액션 장면이 정말 멋있고 박진감 넘칩니다."
3,"액션은 괜찮지만 가끔 과해요."
0.5,"액션이 너무 심해서 영화가 아니라 영상미 없는 액션영상이네요."
5,"공포 분위기가 정말 잘 조성되어 있습니다."
0.5,"공포라고 하기도 미안한 수준입니다."
5,"코미디 장면이 정말 웃겨서 극장이 떠날 뻔했어요."
3,"코미디는 있지만 웃음이 안 나네요."
0.5,"코미디라고 했는데 어색하기만 합니다."
5,"드라마 부분이 정말 잘 만들어져서 눈물이 났습니다."
3,"드라마 부분은 있지만 감동이 약해요."
0.5,"드라마라고 했는데 감정 이입이 안 됩니다."
5,"판타지 세계관이 정말 독창적이고 매력적입니다."
3,"판타지 세계관은 좋지만 설정이 복잡해요."
0.5,"판타지 세계관이 너무 이해가 안 가네요."
5,"역사 고증이 정확하면서도 재미있습니다."
3,"역사 고증은 되어있지만 재미가 부족해요."
0.5,"역사 왜곡이 심해서 불쾌합니다."
5,"사실성과 예술성의 균형이 정말 잘 맞습니다."
3,"사실성과 예술성 중 뭘 택했을 것 같은데 어색해요."
0.5,"사실성도 예술성도 없습니다."
5,"영화 속 음악이 정말 중독적입니다."
3,"음악은 좋지만 장면과의 조화가 아쉬워요."
0.5,"음악이 너무 시끄럽고 거슬립니다."
5,"사운드 디자인이 정말 섬세하고 좋습니다."
3,"사운드는 괜찮지만 밸런스가 안 맞네요."
0.5,"사운드가 망쳐서 영화 감상에 방해가 됩니다."
5,"자막이 정말 잘 번역되어 의미 전달이 완벽합니다."
0.5,"자막이 어색해서 영화에 몰입이 안 됩니다."
5,"인물의 심리 표현이 정말 자세하고 정교합니다."
3,"인물 심리표현은 있지만 부족한 부분이 많아요."
0.5,"인물의 심리가 전혀 드러나지 않습니다."
5,"관계의 변화가 자연스럽고 설득력이 있습니다."
3,"관계의 변화는 있지만 급작스러워요."
0.5,"관계가 갑자기 바뀌어서 이해가 안 가네요."
5,"갈등 표현이 정말 심화된다."
3,"갈등은 있지만 해결이 너무 빨라요."
0.5,"갈등이 너무 많아서 영화가 답답합니다."
5,"해결 방식이 정말 창의적이고 만족합니다."
3,"해결은 됐는데 너무 뻔한 방식이네요."
0.5,"해결이 안 되고 끝나서 불만족스럽습니다."
5,"엔딩이 정말 완벽하고 만족스럽습니다."
3,"엔딩은 괜찮지만 약간 아쉬워요."
0.5,"엔딩이 정말 최악입니다."
5,"영화 전체의 톤이 일관되고 좋습니다."
3,"영화의 톤이 바뀌어서 어색한 부분이 있어요."
0.5,"영화의 톤이 완전히 뒤바뀌어서 혼란스럽습니다."
5,"감독의 스타일이 명확하고 개성 있습니다."
3,"감독의 스타일이 있긴 한데 아직 미숙해요."
0.5,"감독의 스타일이 뭔지 모르겠습니다."
5,"제작비가 잘 쓰인 흔적이 명확합니다."
3,"제작비가 적당하게 쓰인 것 같아요."
0.5,"제작비가 어디에 쓰였는지 모르겠습니다."
5,"영화의 규모감이 정말 크고 웅장합니다."
3,"규모감은 있지만 과해 보여요."
0.5,"영화가 너무 작아 보입니다."
5,"세부 묘사가 정말 섬세하고 좋습니다."
3,"세부 묘사는 있지만 일부 과해요."
0.5,"세부 묘사가 너무 성글어서 거칠어 보여요."
5,"배우 캐스팅이 정말 완벽합니다."
3,"배우 캐스팅은 나쁘지 않지만 애매해요."
0.5,"배우 캐스팅이 정말 형편없습니다."
5,"신인 배우의 연기가 정말 자연스럽고 좋습니다."
0.5,"신인 배우의 연기가 너무 어색합니다."
5,"베테랑 배우의 존재감이 정말 강합니다."
3,"베테랑 배우의 존재감은 있지만 과해요."
0.5,"유명배우가 나왔는데 연기가 형편없네요."
5,"조연 배우들도 모두 열연했습니다."
3,"조연 배우들은 괜찮은데 주연이 아쉬워요."
0.5,"조연들은 괜찮은데 주연 배우가 망쳤어요."
5,"단체 장면이 정말 웅장하고 인상적입니다."
3,"단체 장면은 괜찮은데 카메라 워크가 아쉬워요."
0.5,"단체 장면이 너무 어수선하고 복잡해요."
5,"대사 없는 장면도 정말 표현력이 좋습니다."
3,"대사 없는 장면은 가끔 어색해요."
0.5,"침묵의 장면이 너무 길어서 답답합니다."
5,"반복되는 장면도 지루하지 않습니다."
3,"반복되는 부분이 약간 지루하네요."
0.5,"반복되는 부분이 너무 많아서 극장을 나가고 싶었어요."
